address,type,size,x-text
0x10100508,string,103,"Returned when the position of the overlay on the destination is no longer legal for that destination.\0"
0x10100570,string,44,"The pixel format was invalid as specified.\0"
0x1010059c,string,69,"One or more of the parameters passed to the function are incorrect.\0"
0x101005e4,string,70,"DirectDraw received a pointer that was an invalid DIRECTDRAW object.\0"
0x1010062c,string,49,"DirectDraw does not support the requested mode.\0"
0x10100660,string,82,"The GUID passed to DirectDrawCreate is not a valid DirectDraw driver identifier.\0"
0x101006b4,string,52,"DirectDraw does not support the provided cliplist.\0"
0x101006e8,string,68,"One or more of the caps bits passed to the callback are incorrect.\0"
0x1010072c,string,81,"Unable to match primary surface creation request with existing primary surface.\0"
0x10100780,string,79,"This surface can not be restored because it is an implicitly created surface.\0"
0x101007d0,string,110,"HWND used by DirectDraw CooperativeLevel has been subclassed,this prevents DirectDraw from restoring state.\0"
0x10100840,string,121,"The CooperativeLevel HWND has already been set. It can not be reset while the process has surfaces or palettes created.\0"
0x101008bc,string,67,"Height of rectangle provided is not a multiple of reqd alignment.\0"
0x10100900,string,18,"Generic failure.\0"
0x10100914,string,88,"An attempt was made to set the cooperative level when it was already set to exclusive.\0"
0x1010096c,string,72,"An exception was encountered while performing the requested operation.\0"
0x101009b4,string,89,"A DirectDraw object representing this driver has already been created for this process.\0"
0x10100a10,string,37,"Support is currently not available.\0"
0x10100a38,string,48,"No src color key specified for this operation.\0"
0x10100a68,string,96,"An attempt was made to set a cliplist for a clipper object that is already monitoring an hwnd.\0"
0x10100ac8,string,81,"Can't duplicate primary & 3D surfaces,or surfaces that are implicitly created.\0"
0x10100b1c,string,38,"Windows can not create any more DCs.\0"
0x10100b44,string,62,"This surface can not be detached from the requested surface.\0"
0x10100b84,string,60,"This surface can not be attached to the requested surface.\0"
0x10100bc0,string,90,"Return if a clipper object is attached to the source surface passed into a BltFast call.\0"
0x10100c1c,string,37,"This object is already initialized.\0"
0x10100c44,string,11,"No error.\0"
